stage_a_train_rmse,stage_a_train_r2,stage_a_test_rmse,stage_a_test_r2,stage_b_train_rmse,stage_b_train_r2,stage_b_test_rmse,stage_b_test_r2,residual_residual_mean,residual_residual_std,residual_residual_skew,pairwise_accuracy,pairwise_pairs,iteration,train_count,test_count,stage_a_gap_rmse,stage_b_gap_rmse
1.0028125822109686,0.8433552780229363,1.0228643771286863,0.8354975163436961,0.9942867217841949,0.016931612878367197,1.0128574553919676,0.018671799520790455,-0.011880853204983832,1.0222303967164998,-0.2691555641015083,0.5476673427991886,5916,0,13395,4932,0.02005179491771769,0.018570733607772727
1.0312845501436916,0.8346495457177547,1.0253252508544621,0.8388829772143074,1.0208165783397964,0.020197809896069896,1.0193944780131645,0.011330220473126706,-0.00848965015333416,1.0306577669880796,0.49599728838088414,0.5473793821589725,5762,1,13395,4923,-0.005959299289229447,-0.0014221003266319254
1.0396059636219448,0.831580646179657,0.9998941388253404,0.8459545054575031,1.0290363502849675,0.020230516913287366,0.9954424184319813,0.008876204126992193,-0.0010831743341094705,1.0263757604829806,0.3264747971298151,0.5344856803931537,5901,3,13395,4935,-0.0397118247966044,-0.0335939318529862
1.0340985960077365,0.8337826808136382,1.026348069571001,0.8380315088827618,1.0237878018777629,0.019842190517108227,1.0168927028655708,0.01819148699065365,-0.011700759984745885,1.0261057185670996,0.3479786575821674,0.5505092669894807,5989,6,13395,4974,-0.007750526436735461,-0.006895099012192096
1.0200729126480412,0.8372677318607004,1.0331954964797507,0.8341037388885444,1.0095421921175045,0.02054042111148935,1.0247416244157423,0.016108472386406114,0.006048001404491795,1.0272029153323423,0.38810527420596724,0.5228968792401628,5896,7,13395,4966,0.0131225838317095,0.015199432298237836
1.0263580841563222,0.8357803748808934,1.0215158962165423,0.8380872534445973,1.0180751853877998,0.016075240477151254,1.0120780148065984,0.018385217691574973,-7.19684495240009e-05,1.026469640900184,0.3433730971780752,0.5533058591650242,5581,8,13395,4904,-0.004842187939779974,-0.0059971705812014164
1.0081036967771109,0.8400963584629082,1.0196093908431005,0.8390112872130113,0.9981560114352062,0.01963806875248142,1.0121717245226844,0.014306252657916185,-0.004436798230132424,1.0227613533120807,-0.1940849386097343,0.5325383304940374,5870,9,13395,4934,0.011505694065989669,0.014015713087478288
1.0141432190116781,0.8393429398784154,1.0129745027248864,0.841763443397694,1.003933903640789,0.020032529756693562,1.0075443446840078,0.01068776006486405,-0.0025239323160413663,1.0223880347237013,-0.3331331531300051,0.53823061981282,5663,10,13395,4843,-0.0011687162867917156,0.003610441043218726
1.0331341334382653,0.8347079339132846,1.0249049919927247,0.838011580263382,1.0235003788176094,0.01856262020696975,1.0169695508186622,0.01534948535237568,0.007184205787050231,1.0311527926158697,0.5077764814263024,0.5363443895553988,5668,11,13395,4865,-0.008229141445540655,-0.0065308279989471085
1.0315979385132683,0.8346303750531011,1.0113509343927958,0.8426615701296197,1.0201611921570792,0.022049966451378467,1.0031578712848417,0.016101641458525995,0.005365953453024644,1.0263709744867748,0.3765150561972645,0.5359066427289049,5570,12,13395,4876,-0.020247004120472534,-0.01700332087223755
1.0169214648717042,0.8404064479487332,1.0141366134522887,0.8373383890920806,1.0061838198291786,0.021006451660294467,1.0053952269745514,0.017158695634943433,-0.0058312217722132605,1.0222345578563061,-0.34554475882479213,0.5360788454769447,5682,14,13395,4889,-0.002784851419415535,-0.0007885928546271792
1.0234173721018611,0.8350826414978567,1.0554415251332314,0.8292657899789802,1.0138622892289808,0.01858572634371336,1.0469940103905186,0.01556654961556958,0.010932549436675768,1.0312699038668043,0.4861785955787804,0.5363041982105987,5812,15,13395,4925,0.032024153031370295,0.03313172116153784
1.0105233156523978,0.8423741375732543,1.0136198642047496,0.8385106381714734,1.0004490519648068,0.019839318077418233,1.010333206264392,0.006290313684521487,0.0023420466516295914,1.023644319108773,-0.15466536919703938,0.5383022774327122,6279,17,13395,4965,0.003096548552351752,0.009884154299585113
1.0145415844934387,0.839938271717479,1.0096138450940788,0.8445608970676987,1.003355875805282,0.02192920527193909,1.0037395448307003,0.010844193716589179,0.01253203590909825,1.0222799917129657,-0.41426628828767587,0.5283864541832669,6024,19,13395,4923,-0.004927739399359865,0.00038366902541819847
1.0322261366231054,0.8357607044518309,0.9922395591313691,0.8439577887356129,1.021861982946061,0.01998035552704225,0.9874655266342424,0.00929117576048677,0.010288284231205393,1.02302065023121,-0.5736172485596825,0.5383846794338052,6005,20,13395,4942,-0.039986577491736286,-0.034396456311818535
1.0395371538206257,0.8313914104553051,1.0160424741960623,0.8421156051435679,1.0294512335720842,0.019310501424311233,1.007689053595701,0.015722973873187662,-0.010163584057177858,1.0277257518222358,0.3892760715750061,0.5494391716997411,5795,22,13395,4898,-0.02349467962456342,-0.02176217997638319
1.0159844602124148,0.8391110318025711,1.0165932148112482,0.8403700083071041,1.0068377984007186,0.01792446553811078,1.0058336058541546,0.020996084776624513,0.00039930104435718575,1.0222088756175112,-0.2977397255875007,0.5562651018294787,5794,23,13395,4907,0.0006087545988333609,-0.0010041925465640311
1.028763138204072,0.8376819311406812,1.0179046239747496,0.835923125287771,1.021000825887339,0.015033641069613801,1.0083008159700555,0.01858064014477745,-0.0019472934270634594,1.0271755802379106,0.38686809351287405,0.5415932322876278,5674,24,13395,4900,-0.010858514229322491,-0.012700009917283595
