stage_a_train_rmse,stage_a_train_r2,stage_a_test_rmse,stage_a_test_r2,stage_b_train_rmse,stage_b_train_r2,stage_b_test_rmse,stage_b_test_r2,residual_residual_mean,residual_residual_std,residual_residual_skew,pairwise_accuracy,pairwise_pairs,block,block_start,block_end,train_count,test_count,stage_a_gap_rmse,stage_b_gap_rmse
0.48582111241775544,0.9725285011900667,5.158278288886557,-5.9828492920861915,0.4858211124177554,0.0,5.153691858673699,-0.0011093433745856807,0.4435555286966456,1.6399946075991647,-50.943762989776936,,,2025-11-05,2025-11-05T00:00:00,2025-11-06T00:00:00,4600,836,4.672457176468801,4.667870746255943
0.6722634551956415,0.9460223463265257,1.4431164414481736,0.27157966980632875,0.6722634551956415,0.0,1.3470975529517972,-0.3112010054193195,0.4266720775297849,1.1068762562039762,0.9155224733354163,,,2025-11-06,2025-11-06T00:00:00,2025-11-07T00:00:00,5436,788,0.7708529862525322,0.6748340977561558
0.762609422885111,0.9292518658325465,1.3571578958703001,0.3588755497801499,0.7626094228851109,0.0,1.3040483812822392,-0.2916172178732086,0.3191950605581599,1.0818156613079744,0.8358376342858632,,,2025-11-07,2025-11-07T00:00:00,2025-11-08T00:00:00,6224,715,0.5945484729851891,0.5414389583971283
0.8191489503825552,0.9165677499195797,1.5320898363882807,0.3312871781326062,0.8191489503825553,0.0,1.5064112052204597,-0.21850895249565383,0.24005065808300968,1.0669276694040446,0.7730404922511096,,,2025-11-08,2025-11-08T00:00:00,2025-11-09T00:00:00,6939,520,0.7129408860057255,0.6872622548379044
0.8748295582472673,0.9036829512846408,1.326789998968904,0.4509899098856913,0.8748295582472672,0.0,1.3722979544151261,-0.26945964367844333,0.18611341777903198,1.0527923937557147,0.6753640503019975,,,2025-11-09,2025-11-09T00:00:00,2025-11-10T00:00:00,7459,525,0.45196044072163677,0.497468396167859
0.9081658923031668,0.8943561877031954,1.362607039709696,0.4443843007420256,0.9081658923031667,0.0,1.3626070397102954,-0.28185711399933644,0.13946800167895587,1.0426589801781985,0.5986578245983332,,,2025-11-10,2025-11-10T00:00:00,2025-11-11T00:00:00,7984,703,0.4544411474065293,0.4544411474071287
0.9432438565021288,0.8826731344021662,1.1450086780546385,0.5327959889141902,0.9392219084774831,0.008509725872324903,1.1181716279964533,3.558421903160358e-05,0.08480392112809797,1.03122424795746,0.4880570727484626,0.5139366170294005,2619.0,2025-11-11,2025-11-11T00:00:00,2025-11-12T00:00:00,8687,675,0.20176482155250963,0.1789497195189702
0.9568943555017123,0.8757719724970682,1.1037610302551786,0.6678466553040793,0.9525812244761758,0.008994536210063742,1.0968350490270837,0.009087790995925826,0.07684338377695094,1.0296326908796025,0.4371542259428329,0.5416539517851694,3277.0,2025-11-12,2025-11-12T00:00:00,2025-11-13T00:00:00,9362,707,0.14686667475346626,0.14425382455090796
0.9668526547115667,0.8695241385647333,1.1831530665545906,0.575053592601111,0.9612778306010584,0.011498653915355206,1.140250352873119,-0.012967226431765067,0.07600570252232074,1.0274321671937021,0.3269950479243622,0.5600126342387871,3166.0,2025-11-13,2025-11-13T00:00:00,2025-11-14T00:00:00,10069,743,0.21630041184302395,0.1789725222720605
0.9795609061475565,0.8623798165580734,1.1881276830627596,0.5684212420799515,0.9737190049313633,0.011892024736137374,1.1659802415783704,-0.006774224006247387,0.06438013421981359,1.0256850882118007,0.2004169194269227,0.5572949279899813,3194.0,2025-11-14,2025-11-14T00:00:00,2025-11-15T00:00:00,10812,741,0.2085667769152031,0.19226123664700712
0.9927733997301554,0.8554078564953878,1.2805178265218655,0.5181376777824643,0.9875764239222757,0.010442208121434926,1.2559267674210974,-0.12512290385346625,0.05292381238222581,1.0247396912041202,0.08557136131325128,0.5556432517758485,1267.0,2025-11-15,2025-11-15T00:00:00,2025-11-16T00:00:00,11553,465,0.2877444267917101,0.2683503434988217
1.00321242560257,0.8499696597902495,1.2368345035498345,0.5642959942665016,0.9980388906597496,0.010287342805161637,1.2529776948548472,-0.1421152203593563,0.03656680280749946,1.0234754199723612,-0.02739605731163356,0.5258620689655172,1044.0,2025-11-16,2025-11-16T00:00:00,2025-11-17T00:00:00,12018,462,0.23362207794726442,0.2549388041950976
1.0125420841981747,0.8450694020604842,1.1977692926692651,0.5525460227331904,1.0072104451469897,0.010503468451503961,1.1891425286110249,-0.0685830560234788,0.019984908810794885,1.0223037795700352,-0.12697724766679522,0.5425027362276541,2741.0,2025-11-17,2025-11-17T00:00:00,2025-11-18T00:00:00,12480,650,0.18522720847109042,0.18193208346403522
1.0212741406995616,0.8390872384258494,0.9983766927248522,0.5988798891686087,1.0156788052621675,0.010927541218445636,0.9860686035154671,0.01724809259187543,0.00025259098869031806,1.0207944657106847,-0.28762467741613734,0.582905982905983,585.0,2025-11-18,2025-11-18T00:00:00,2025-11-19T00:00:00,13130,265,-0.022897447974709384,-0.02961020174670037
