metric,value,mean,std
iterations,30.0,,
trim_fraction,0.1,,
stage_a_train_rmse,1.0238554664166217,1.0238554664166217,0.007681195657574652
stage_a_test_rmse,1.018785462205981,1.018785462205981,0.007841710393225936
stage_b_train_rmse,1.0137152614969855,1.0137152614969855,0.007722098797923208
stage_b_test_rmse,1.0112086387009234,1.0112086387009234,0.008010989337524225
stage_b_test_r2,0.014685493636317853,0.014685493636317853,0.0031597910620995407
pairwise_accuracy,0.5406860453660647,0.5406860453660647,0.005910874385702303
